Overall_Rank,City,State_id,Lat,Lng,Emo_Rank,Income_Rank,Comm_Rank
116,Jacksonville,FL,30.3322,-81.6749,125,104,59
117,Providence,RI,41.823,-71.4187,129,59,90
118,Knoxville,TN,35.9692,-83.9496,133,97,47
119,Baton Rouge,LA,30.4419,-91.131,123,56,140
120,Tampa,FL,27.9942,-82.4451,121,125,88
121,Worcester,MA,42.2705,-71.8079,120,84,137
122,St. Petersburg,FL,27.793000000000003,-82.6652,130,67,111
123,Milwaukee,WI,43.0642,-87.9673,105,130,133
124,New Orleans,LA,30.0687,-89.9288,143,107,5
125,Rochester,NY,43.168,-77.6162,103,140,130
126,Indianapolis,IN,39.7771,-86.1458,134,123,42
127,Tulsa,OK,36.1284,-95.9043,136,66,82
128,Montgomery,AL,32.3473,-86.2666,122,137,94
129,Little Rock,AR,34.7255,-92.35799999999999,144,26,52
130,Baltimore,MD,39.3051,-76.6144,113,121,139
131,Memphis,TN,35.1046,-89.9773,119,139,115
132,Louisville,KY,38.1663,-85.6485,138,132,21
133,Norfolk,VA,36.8945,-76.259,116,134,136
134,Corpus Christi,TX,27.7261,-97.3755,135,109,96
135,Buffalo,NY,42.9017,-78.8487,126,131,132
136,Cincinnati,OH,39.1412,-84.506,127,136,127
137,St. Louis,MO,38.6358,-90.2451,132,105,142
138,Jackson,MS,32.3163,-90.2124,137,111,113
139,Philadelphia,PA,40.0077,-75.1339,142,122,77
140,Akron,OH,41.0798,-81.5219,131,129,141
141,Newark,NJ,40.7245,-74.1725,107,149,150
142,Fayetteville,NC,35.0846,-78.9776,141,145,120
143,Shreveport,LA,32.4659,-93.7959,148,135,105
144,Mobile,AL,30.6782,-88.1163,147,142,100
145,Columbus,GA,32.51,-84.8771,145,147,84
146,Toledo,OH,41.6639,-83.5822,146,126,143
147,Birmingham,AL,33.5277,-86.7987,139,146,146
148,Augusta,GA,33.3645,-82.0708,149,138,134
149,Cleveland,OH,41.4767,-81.6805,140,148,148
150,Detroit,MI,42.3834,-83.1024,150,150,149
